,United States,,California,,"Alameda County, CA",,"Alpine County, CA",,"Amador County, CA",,"Butte County, CA",,"Calaveras County, CA",,"Colusa County, CA",,"Contra Costa County, CA",,"Del Norte County, CA",,"El Dorado County, CA",,"Fresno County, CA",,"Glenn County, CA",,"Humboldt County, CA",,"Imperial County, CA",,"Inyo County, CA",,"Kern County, CA",,"Kings County, CA",,"Lake County, CA",,"Lassen County, CA",,"Los Angeles County, CA",,"Madera County, CA",,"Marin County, CA",,"Mariposa County, CA",,"Mendocino County, CA",,"Merced County, CA",,"Modoc County, CA",,"Mono County, CA",,"Monterey County, CA",,"Napa County, CA",,"Nevada County, CA",,"Orange County, CA",,"Placer County, CA",,"Plumas County, CA",,"Riverside County, CA",,"Sacramento County, CA",,"San Benito County, CA",,"San Bernardino County, CA",,"San Diego County, CA",,"San Francisco County, CA",,"San Joaquin County, CA",,"San Luis Obispo County, CA",,"San Mateo County, CA",,"Santa Barbara County, CA",,"Santa Clara County, CA",,"Santa Cruz County, CA",,"Shasta County, CA",,"Sierra County, CA",,"Siskiyou County, CA",,"Solano County, CA",,"Sonoma County, CA",,"Stanislaus County, CA",,"Sutter County, CA",,"Tehama County, CA",,"Trinity County, CA",,"Tulare County, CA",,"Tuolumne County, CA",,"Ventura County, CA",,"Yolo County, CA",,"Yuba County, CA",
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
70 to 74 years,5857722,11278,617578,4097,25079,727,69,29,1414,190,4843,288,1790,254,365,91,20423,771,644,139,4907,404,13796,573,408,95,3246,260,2400,283,484,81,11162,585,1816,212,1857,242,573,92,140684,1877,3043,306,7016,404,469,101,2753,266,3416,291,244,133,166,107,6417,428,3039,227,3467,320,51634,1058,8791,466,671,119,40484,1090,22801,712,985,163,27544,929,51177,1115,14198,640,10708,519,6200,387,12741,551,7748,499,27455,709,5411,385,4306,308,69,41,1629,166,7517,442,11140,536,7899,486,1477,184,1666,174,434,106,6002,438,1729,210,14917,557,3044,237,1211,197
75 to 79 years,3984034,8825,420939,3293,16781,639,41,29,856,145,3253,277,1052,211,291,69,13489,549,271,96,3005,292,8913,490,376,93,1867,203,1873,278,271,65,7243,507,1040,151,1301,198,338,77,97127,1551,1606,249,4713,317,521,90,1505,188,2746,261,355,121,285,42,4218,319,2461,210,2124,221,35908,963,5900,359,469,91,29876,854,14432,666,532,116,18697,684,33183,870,10346,520,7154,469,4308,306,9071,526,5376,356,20905,655,3296,284,2939,204,70,52,1035,98,4684,307,6909,319,5873,339,1020,161,1089,188,363,88,4183,342,1041,164,9890,516,1756,194,712,133
80 to 84 years,2533303,9088,278686,3207,10771,541,0,12,423,132,1936,220,799,181,136,49,8368,572,211,79,2332,285,5599,413,254,68,705,149,1050,218,307,70,4730,426,1007,156,692,157,252,61,68330,1428,1510,248,2968,336,222,70,575,119,1506,220,91,47,34,26,2916,305,1158,167,1173,206,23820,924,4083,363,252,98,18709,766,10402,610,441,108,11366,609,24322,882,7517,527,4262,406,2636,280,5786,450,3419,290,13305,520,1833,210,2091,196,78,52,436,86,3274,305,4247,318,3158,290,961,174,649,143,186,78,2425,317,782,156,6256,402,1501,195,434,128
85 years and over,2198252,8169,261793,3162,9796,521,8,9,547,150,1841,228,587,157,135,58,8158,495,324,86,1380,216,5657,397,232,69,1098,190,1365,239,211,57,4313,452,592,131,616,162,201,75,66698,1464,789,171,2159,274,198,83,646,158,1097,211,74,46,48,47,2928,292,1358,195,1267,193,22643,799,3516,297,164,73,15888,725,9966,636,310,79,9098,553,22351,981,7466,441,4174,342,2829,294,6666,488,3961,375,12899,518,1439,206,1471,201,14,19,422,101,2812,239,3940,393,2832,296,772,148,609,135,141,65,2343,321,736,156,6299,486,1292,175,417,118
Female:,164810876,5818,19757199,1141,842239,36,485,89,17789,136,114082,86,22851,295,10460,120,583749,143,12750,178,94641,152,493375,86,13758,119,68364,212,87949,146,8915,121,432798,149,67696,130,32330,130,10486,216,5112188,0,80461,135,132987,129,8548,186,43982,178,134395,167,4281,191,6676,311,212409,106,70020,96,50297,170,1604212,0,197350,122,9378,132,1210479,89,779556,0,30225,113,1079265,234,1646558,0,428675,173,372451,107,139159,198,388095,107,222170,189,953048,201,138328,162,91165,143,1415,96,21760,83,222011,78,255727,195,274323,116,48243,76,32139,120,6165,100,230932,98,25933,151,428152,113,111914,189,37410,164
Under 5 years,9655056,3510,1196921,629,47238,0,22,15,731,40,5989,42,982,154,834,74,31954,128,648,89,4239,65,38019,53,890,20,3551,76,7428,93,485,60,34454,72,5687,29,1874,86,632,93,297934,0,5699,120,6165,62,324,43,2488,50,10331,27,232,37,247,197,15423,76,3373,63,1963,34,91582,0,10013,14,388,50,77054,0,48675,0,1969,44,75317,190,102184,0,19362,100,25589,81,6476,99,21353,52,13663,60,56697,171,6989,119,5121,93,23,22,1160,57,12976,55,12366,46,19378,107,3185,67,1901,51,252,39,18422,46,1215,50,24730,82,6149,154,2896,80
5 to 9 years,9880648,19590,1210252,6725,45905,1059,29,14,683,151,6780,444,1115,204,726,133,36275,894,702,164,4929,392,38460,1010,781,158,3796,337,6396,547,626,110,35541,1185,5922,405,1859,288,598,109,290954,2954,6283,495,7265,443,364,126,2936,255,10593,632,247,66,304,116,15295,653,3557,330,2205,256,91347,1685,12136,530,485,129,82544,1567,50616,1163,2190,222,78117,1474,97185,1734,15439,575,28233,974,6544,439,21255,817,13241,650,56665,1207,6961,484,5228,402,78,53,1522,120,13454,628,13313,575,20684,746,3470,299,1780,250,375,69,20214,841,1174,240,25684,779,6003,391,3189,328
10 to 14 years,10219256,19100,1257108,6643,47993,1060,20,17,994,182,5662,446,1064,213,826,131,36721,895,982,186,5795,431,38970,1009,1210,159,3435,319,7482,542,375,112,36652,1185,5489,410,1776,256,549,101,306842,2954,5803,501,7852,440,478,112,2254,244,11712,640,213,59,321,194,16097,657,4521,340,2575,244,100123,1686,12398,531,455,138,87828,1567,49223,1163,2282,224,78371,1474,96433,1734,14497,583,28155,974,7311,435,22456,821,13994,638,61122,1207,7601,472,5324,408,90,29,863,114,13511,630,14297,575,20341,746,3442,297,2477,229,210,83,19793,843,1252,237,29383,795,6740,381,2473,330
15 to 17 years,6147898,3435,746969,549,26979,36,25,13,494,63,3607,72,675,78,457,65,22856,68,530,68,3503,87,22092,30,636,58,2156,54,4051,43,238,60,20291,89,3071,110,1181,115,343,19,185868,0,3341,57,4691,67,228,22,1516,62,6595,31,120,67,258,159,8880,54,2648,32,1540,124,61263,0,7753,66,267,49,53419,88,29509,0,1396,52,47520,104,57270,0,8251,62,16717,52,4244,109,12648,91,7850,54,34350,86,4470,76,3188,64,27,15,700,7,8287,86,8629,144,11985,54,2012,22,1361,108,173,67,11517,85,781,58,17212,64,3831,92,1469,106
18 and 19 years,4220084,5219,508404,823,19583,36,12,13,364,141,4107,124,341,76,337,52,12806,103,419,147,1907,125,13388,76,347,79,2345,169,2569,127,135,56,11586,69,1860,100,680,123,231,38,129778,0,1952,97,2527,53,47,34,956,65,4895,123,40,40,326,203,6474,139,1781,61,936,169,40370,54,4140,99,167,96,33807,0,16722,0,797,34,28903,32,42135,0,7342,66,10048,119,6655,306,6904,133,11248,220,21318,71,7178,198,1744,78,15,17,443,83,4652,56,6183,86,7099,102,1102,44,532,154,108,93,6749,186,424,48,10851,70,7205,141,834,84
